dx_id,kk,ss,bb,pp,log10(period)
173,3,2,523982,2147483647,28.0
174,3,2,523998,2147483647,28.0
175,3,2,524002,2147483647,28.0
176,3,2,524038,2147483647,28.0
177,3,2,524042,2147483647,28.0
178,3,2,524045,2147483647,28.0
179,3,2,524055,2147483647,28.0
180,3,2,524069,2147483647,28.0
181,3,2,524082,2147483647,28.0
182,3,2,524091,2147483647,28.0
183,3,2,524112,2147483647,28.0
184,3,2,524114,2147483647,28.0
185,3,2,524119,2147483647,28.0
186,3,2,524122,2147483647,28.0
187,3,2,524135,2147483647,28.0
188,3,2,524156,2147483647,28.0
189,3,2,524169,2147483647,28.0
190,3,2,524172,2147483647,28.0
191,3,2,524177,2147483647,28.0
192,3,2,524183,2147483647,28.0
193,3,2,524193,2147483647,28.0
194,3,2,524196,2147483647,28.0
195,3,2,524201,2147483647,28.0
196,3,2,524232,2147483647,28.0
197,3,2,524248,2147483647,28.0
198,3,2,524251,2147483647,28.0
199,3,2,524254,2147483647,28.0
200,3,2,524258,2147483647,28.0
201,3,2,524265,2147483647,28.0
202,3,2,524268,2147483647,28.0
203,3,2,524269,2147483647,28.0
204,3,2,524278,2147483647,28.0
205,3,2,524287,2147483647,28.0
206,3,2,1047999,2147483647,28.0
207,3,2,1048009,2147483647,28.0
208,3,2,1048027,2147483647,28.0
209,3,2,1048034,2147483647,28.0
210,3,2,1048064,2147483647,28.0
211,3,2,1048080,2147483647,28.0
212,3,2,1048090,2147483647,28.0
213,3,2,1048092,2147483647,28.0
214,3,2,1048095,2147483647,28.0
215,3,2,1048097,2147483647,28.0
216,3,2,1048121,2147483647,28.0
217,3,2,1048128,2147483647,28.0
218,3,2,1048138,2147483647,28.0
219,3,2,1048161,2147483647,28.0
220,3,2,1048182,2147483647,28.0
221,3,2,1048190,2147483647,28.0
222,3,2,1048205,2147483647,28.0
223,3,2,1048212,2147483647,28.0
224,3,2,1048216,2147483647,28.0
225,3,2,1048231,2147483647,28.0
226,3,2,1048237,2147483647,28.0
227,3,2,1048238,2147483647,28.0
